Time,Citric acid,Glucose,Citric acid + Glucose
Time,B2,B5,B8
0:09:10,0.117,0.12,0.121
0:19:10,0.117,0.121,0.121
0:29:10,0.117,0.122,0.122
0:39:10,0.117,0.121,0.124
0:49:10,0.117,0.12,0.125
0:59:10,0.117,0.121,0.126
1:09:10,0.118,0.121,0.128
1:19:10,0.119,0.121,0.129
1:29:10,0.119,0.121,0.13
1:39:10,0.121,0.121,0.131
1:49:10,0.12,0.121,0.132
1:59:10,0.123,0.121,0.134
2:09:10,0.125,0.121,0.136
2:19:10,0.127,0.121,0.137
2:29:10,0.129,0.12,0.139
2:39:10,0.132,0.12,0.141
2:49:10,0.133,0.12,0.144
2:59:10,0.135,0.12,0.144
3:09:10,0.135,0.12,0.147
3:19:10,0.137,0.12,0.149
3:29:10,0.137,0.12,0.153
3:39:10,0.139,0.12,0.152
3:49:10,0.14,0.12,0.157
3:59:10,0.142,0.12,0.16
4:09:10,0.143,0.12,0.163
4:19:10,0.145,0.121,0.169
4:29:10,0.146,0.121,0.175
4:39:10,0.148,0.123,0.183
4:49:10,0.151,0.124,0.19
4:59:10,0.153,0.125,0.199
5:09:10,0.157,0.127,0.207
5:19:10,0.161,0.129,0.217
5:29:10,0.164,0.131,0.223
5:39:10,0.167,0.134,0.233
5:49:10,0.17,0.136,0.242
5:59:10,0.174,0.14,0.258
6:09:10,0.181,0.145,0.288
6:19:10,0.185,0.149,0.318
6:29:10,0.188,0.155,0.359
6:39:10,0.191,0.159,0.399
6:49:10,0.197,0.166,0.449
6:59:10,0.204,0.172,0.514
7:09:10,0.208,0.178,0.567
7:19:10,0.213,0.187,0.602
7:29:10,0.216,0.193,0.605
7:39:10,0.22,0.203,0.584
7:49:10,0.227,0.225,0.584
7:59:10,0.234,0.263,0.606
8:09:10,0.236,0.281,0.595
8:19:10,0.239,0.322,0.594
8:29:10,0.24,0.356,0.6
8:39:10,0.242,0.385,0.6
8:49:10,0.24,0.432,0.614
8:59:10,0.243,0.466,0.618
9:09:10,0.246,0.502,0.622
9:19:10,0.255,0.52,0.631
9:29:10,0.262,0.54,0.636
9:39:10,0.267,0.558,0.644
9:49:10,0.271,0.583,0.65
9:59:10,0.277,0.586,0.673
10:09:10,0.28,0.599,0.667
10:19:10,0.302,0.617,0.667
10:29:10,0.319,0.623,0.688
10:39:10,0.348,0.638,0.691
10:49:10,0.39,0.644,0.702
10:59:10,0.428,0.651,0.695
11:09:10,0.474,0.659,0.73
11:19:10,0.512,0.667,0.747
11:29:10,0.519,0.671,0.73
11:39:10,0.539,0.673,0.73
11:49:10,0.58,0.683,0.753
11:59:10,0.585,0.684,0.753
12:09:10,0.618,0.694,0.774
12:19:10,0.623,0.696,0.769
12:29:10,0.64,0.703,0.782
12:39:10,0.664,0.711,0.798
12:49:10,0.679,0.717,0.809
12:59:10,0.683,0.716,0.809
13:09:10,0.703,0.727,0.827
13:19:10,0.707,0.726,0.827
13:29:10,0.721,0.734,0.838
13:39:10,0.73,0.739,0.849
13:49:10,0.736,0.739,0.854
13:59:10,0.76,0.762,0.881
14:09:10,0.76,0.752,0.877
14:19:10,0.775,0.763,0.89
14:29:10,0.783,0.766,0.896
14:39:10,0.791,0.762,0.902
14:49:10,0.806,0.776,0.917
14:59:10,0.814,0.774,0.92
15:09:10,0.823,0.772,0.925
15:19:10,0.835,0.782,0.937
15:29:10,0.853,0.807,0.957
15:39:10,0.86,0.799,0.955
15:49:10,0.874,0.817,0.971
15:59:10,0.882,0.814,0.973
16:09:10,0.895,0.831,0.987
16:19:10,0.902,0.823,0.987
16:29:10,0.909,0.82,0.992
16:39:10,0.917,0.811,0.998
16:49:10,0.928,0.867,1.013
16:59:10,0.932,0.804,1.011
17:09:10,0.939,0.75,1.015
17:19:10,0.947,0.789,1.023
17:29:10,0.954,0.744,1.028
17:39:10,0.957,0.661,1.029
17:49:10,0.965,0.698,1.037
17:59:10,0.973,0.718,1.047
18:09:10,0.979,0.625,1.049
18:19:10,0.982,0.613,1.05
18:29:10,0.987,0.617,1.055
18:39:10,0.991,0.605,1.058
18:49:10,0.996,0.611,1.062
18:59:10,0.999,0.604,1.065
19:09:10,1.007,0.668,1.076
19:19:10,1.009,0.621,1.077
19:29:10,1.015,0.625,1.081
19:39:10,1.024,0.653,1.095
19:49:10,1.026,0.614,1.095
19:59:10,1.031,0.621,1.099
20:09:10,1.037,0.646,1.108
20:19:10,1.046,0.696,1.123
20:29:10,1.052,0.674,1.13
20:39:10,1.055,0.665,1.133
20:49:10,1.055,0.619,1.129
20:59:10,1.058,0.621,1.135
21:09:10,1.06,0.616,1.14
21:19:10,1.064,0.618,1.147
21:29:10,1.065,0.611,1.152
21:39:10,1.071,0.648,1.162
21:49:10,1.077,0.674,1.175
21:59:10,1.077,0.617,1.176
22:09:10,1.08,0.63,1.183
22:19:10,1.084,0.619,1.193
22:29:10,1.087,0.634,1.2
22:39:10,1.09,0.637,1.209
22:49:10,1.094,0.631,1.216
22:59:10,1.099,0.653,1.225
23:09:10,1.097,0.621,1.229
23:19:10,1.1,0.645,1.239
23:29:10,1.102,0.632,1.247
23:39:10,1.105,0.624,1.258
23:49:10,1.105,0.624,1.262
23:59:10,1.11,0.62,1.271
24:09:10,1.111,0.613,1.268
24:19:10,1.112,0.62,1.28
24:29:10,1.114,0.641,1.288
24:39:10,1.117,0.627,1.3
24:49:10,1.12,0.624,1.304
24:59:10,1.123,0.626,1.309
25:09:10,1.126,0.646,1.311
25:19:10,1.128,0.655,1.318
25:29:10,1.131,0.639,1.326
25:39:10,1.131,0.637,1.33
25:49:10,1.133,0.619,1.34
25:59:10,1.138,0.666,1.347
26:09:10,1.139,0.637,1.349
26:19:10,1.142,0.64,1.357
26:29:10,1.143,0.637,1.359
26:39:10,1.143,0.613,1.364
26:49:10,1.149,0.664,1.373
26:59:10,1.154,0.631,1.38
27:09:10,1.153,0.618,1.382
27:19:10,1.156,0.63,1.389
27:29:10,1.159,0.617,1.396
27:39:10,1.164,0.635,1.403
27:49:10,1.165,0.622,1.409
27:59:10,1.168,0.641,1.417
28:09:10,1.169,0.625,1.423
28:19:10,1.171,0.619,1.428
28:29:10,1.17,0.61,1.431
28:39:10,1.174,0.611,1.442
28:49:10,1.173,0.607,1.444
28:59:10,1.174,0.613,1.45
29:09:10,1.182,0.642,1.468
29:19:10,1.185,0.626,1.472
29:29:10,1.186,0.617,1.476
29:39:10,1.189,0.628,1.484
29:49:10,1.189,0.619,1.488
29:59:10,1.19,0.611,1.494
30:09:10,1.195,0.63,1.503
30:19:10,1.195,0.627,1.504
30:29:10,1.2,0.622,1.515
30:39:10,1.207,0.618,1.516
30:49:10,1.218,0.621,1.522
30:59:10,1.226,0.639,1.526
31:09:10,1.231,0.643,1.533
31:19:10,1.228,0.617,1.536
31:29:10,1.228,0.65,1.546
31:39:10,1.226,0.651,1.561
31:49:10,1.223,0.617,1.567
31:59:10,1.212,0.612,1.564
32:09:10,1.208,0.627,1.568
32:19:10,1.206,0.625,1.572
32:29:10,1.199,0.628,1.571
32:39:10,1.191,0.624,1.571
32:49:10,1.186,0.638,1.571
32:59:10,1.184,0.63,1.573
33:09:10,1.175,0.644,1.57
33:19:10,1.171,0.661,1.573
33:29:10,1.156,0.623,1.565
33:39:10,1.144,0.618,1.564
